#{"t_start": 1761561634.0887206, "env_id": "None"}
r,l,t
0.9,2,7.08321
1.0,1,7.085218
0.6,5,7.088217
0.4,7,7.093216
0.5,6,7.098216
0.4,7,7.103215
0.3,8,7.108227
0.0,11,7.118232
0.7,4,7.120775
-0.5,16,7.132815
0.8,3,7.133815
0.9,2,7.136816
0.7,4,7.138815
1.0,1,7.139815
0.9,2,7.143781
0.2,9,7.149787
0.5,6,7.152786
1.0,1,7.154787
1.0,1,7.154787
1.0,1,7.155787
0.8,3,7.157789
0.4,7,7.164816
0.1,10,7.172816
0.3,8,7.179787
0.7,4,7.183817
0.5,6,7.1898
0.8,3,7.190815
0.7,4,7.193817
1.0,1,7.195817
0.6,5,7.199781
0.5,6,7.203779
0.9,2,7.206803
0.7,4,7.209834
0.3,8,7.215837
0.9,2,7.217794
0.6,5,7.223431
-0.1,12,7.235387
0.8,3,7.236387
0.9,2,7.238393
0.2,9,7.244432
-0.2,13,7.251398
0.7,4,7.254398
0.7,4,7.257399
0.8,3,7.260397
0.5,6,7.266397
0.7,4,7.269397
1.0,1,7.270397
0.4,7,7.277426
0.9,2,7.277426
0.9,2,7.28139
0.8,3,7.282388
0.6,5,7.287396
0.3,8,7.293431
0.6,5,7.296438
0.8,3,7.300425
0.5,6,7.303432
0.7,4,7.306405
0.8,3,7.310437
0.5,6,7.314437
0.5,6,7.319394
0.9,2,7.321901
1.0,1,7.323937
0.5,6,7.326936
0.0,11,7.333936
1.0,1,7.335901
0.6,5,7.339913
0.1,10,7.346912
0.7,4,7.349912
1.0,1,7.349912
1.0,1,7.349912
-0.1,12,7.359899
0.4,7,7.364942
0.2,9,7.370902
-0.2,13,7.380902
0.8,3,7.382901
0.7,4,7.385902
1.0,1,7.387902
0.7,4,7.389902
1.0,1,7.390902
0.6,5,7.392902
0.6,5,7.395902
1.0,1,7.397902
0.3,8,7.403912
0.7,4,7.407909
0.2,9,7.415944
1.0,1,7.415944
0.5,6,7.423388
0.1,10,7.429387
0.2,9,7.437388
1.0,1,7.439388
-0.1,12,7.447388
0.9,2,7.448388
1.0,1,7.448388
-0.2,13,7.45736
0.5,6,7.46435
-0.1,12,7.47235
0.9,2,7.475351
1.0,1,7.475351
0.9,2,7.47635
0.1,10,7.486352
0.1,10,7.494353
0.9,2,7.496388
1.0,1,7.496388
1.0,1,7.496388
-0.2,13,7.508427
1.0,1,7.508427
0.1,10,7.515427
-0.1,12,7.523898
0.0,11,7.532933
0.5,6,7.537933
-0.2,13,7.546896
0.4,7,7.552897
0.9,2,7.552897
0.1,10,7.561904
0.9,2,7.564906
0.9,2,7.566907
0.7,4,7.569906
0.6,5,7.57294
0.0,11,7.582896
0.6,5,7.5869
0.7,4,7.589909
0.9,2,7.590906
-0.2,13,7.602896
1.0,1,7.602896
0.3,8,7.609919
0.7,4,7.61292
0.6,5,7.61492
0.6,5,7.617919
0.3,8,7.624306
0.8,3,7.628301
1.0,1,7.628301
0.9,2,7.631298
1.0,1,7.631298
-0.1,12,7.639337
0.4,7,7.646297
1.0,1,7.647297
0.0,11,7.656305
0.6,5,7.6603
1.0,1,7.6603
0.4,7,7.666297
0.5,6,7.671297
0.9,2,7.672297
0.8,3,7.674297
0.9,2,7.675297
0.5,6,7.682297
0.9,2,7.682297
0.1,10,7.691308
0.3,8,7.697308
0.9,2,7.697308
0.6,5,7.703334
1.0,1,7.703334
0.6,5,7.707299
0.9,2,7.7093
1.0,1,7.7103
1.0,1,7.712302
0.2,9,7.7183
0.0,11,7.725806
0.6,5,7.728805
1.0,1,7.730806
0.7,4,7.734815
0.9,2,7.734815
0.8,3,7.737843
0.8,3,7.740806
0.8,3,7.741806
0.5,6,7.748843
1.0,1,7.748843
0.8,3,7.751842
0.3,8,7.755805
0.3,8,7.760806
0.8,3,7.763809
0.6,5,7.767811
0.2,9,7.774849
0.7,4,7.777808
0.3,8,7.782817
0.2,9,7.789816
-0.1,12,7.798817
0.3,8,7.805843
-0.2,13,7.815858
0.5,6,7.818855
0.7,4,7.821368
-0.1,12,7.828381
0.7,4,7.83138
1.0,1,7.83238
0.6,5,7.836381
0.7,4,7.841382
-0.3,14,7.852408
0.9,2,7.854409
1.0,1,7.855408
0.4,7,7.86138
0.7,4,7.864382
0.9,2,7.865381
0.4,7,7.870401
0.6,5,7.874373
0.2,9,7.879371
0.5,6,7.885372
0.9,2,7.886371
-0.1,12,7.895408
0.9,2,7.898384
1.0,1,7.898384
0.3,8,7.905381
0.9,2,7.90842
0.6,5,7.91142
1.0,1,7.912392
1.0,1,7.912392
0.8,3,7.917397
0.8,3,7.919397
1.0,1,7.920912
0.9,2,7.924918
0.8,3,7.925919
0.4,7,7.931925
0.7,4,7.934953
-0.3,14,7.945958
0.8,3,7.946918
0.7,4,7.94996
0.9,2,7.954925
0.4,7,7.960925
0.5,6,7.963925
1.0,1,7.963925
0.5,6,7.970924
0.9,2,7.970924
0.9,2,7.973954
0.9,2,7.97493
0.8,3,7.978919
0.7,4,7.981929
0.7,4,7.986917
0.8,3,7.989927
0.5,6,7.992924
0.7,4,7.994925
0.8,3,7.997926
0.2,9,8.004926
1.0,1,8.00794
0.7,4,8.010931
0.3,8,8.017935
1.0,1,8.017935
0.6,5,8.022544
0.5,6,8.027544
0.1,10,8.033513
0.5,6,8.040512
0.5,6,8.043511
0.7,4,8.046547
1.0,1,8.046547
0.5,6,8.051549
0.2,9,8.057545
0.0,11,8.064512
1.0,1,8.067513
0.5,6,8.071512
0.3,8,8.076512
-0.6,17,8.088515
0.4,7,8.094512
0.2,9,8.099512
0.8,3,8.10254
0.4,7,8.105546
-0.3,14,8.11859
-0.1,12,8.127151
0.6,5,8.132123
0.6,5,8.135123
0.9,2,8.137123
1.0,1,8.137123
1.0,1,8.138123
0.6,5,8.142123
1.0,1,8.143123
0.5,6,8.148141
1.0,1,8.151122
0.7,4,8.15412
1.0,1,8.156123
0.7,4,8.159123
0.9,2,8.160125
1.0,1,8.163123
0.2,9,8.171123
0.8,3,8.174123
0.5,6,8.177123
-0.5,16,8.187123
0.2,9,8.193158
0.4,7,8.19915
1.0,1,8.201122
0.8,3,8.204123
0.3,8,8.210133
1.0,1,8.211129
0.2,9,8.219127
0.5,6,8.22163
0.5,6,8.227633
1.0,1,8.227633
0.9,2,8.228633
0.3,8,8.234633
1.0,1,8.238636
0.7,4,8.240633
0.3,8,8.245633
1.0,1,8.246633
0.1,10,8.251634
0.3,8,8.258634
0.4,7,8.265633
-0.1,12,8.274634
0.9,2,8.277634
0.9,2,8.278634
0.8,3,8.282639
0.3,8,8.289634
0.2,9,8.29564
0.7,4,8.299634
0.7,4,8.303634
0.9,2,8.306637
0.9,2,8.307637
0.5,6,8.312667
0.7,4,8.315639
0.7,4,8.319668
0.8,3,8.322207
0.7,4,8.325206
1.0,1,8.327207
1.0,1,8.327207
1.0,1,8.328206
0.9,2,8.330207
0.7,4,8.333206
0.6,5,8.338181
0.8,3,8.340181
0.4,7,8.344177
1.0,1,8.348177
1.0,1,8.348177
0.7,4,8.352207
-0.1,12,8.360206
1.0,1,8.360206
0.0,11,8.368179
0.2,9,8.375181
0.5,6,8.381175
0.4,7,8.385212
0.8,3,8.388211
0.5,6,8.394178
0.4,7,8.399181
1.0,1,8.401179
-0.1,12,8.410218
0.4,7,8.414217
0.6,5,8.419187
-0.1,12,8.427787
0.8,3,8.428786
0.5,6,8.433756
0.3,8,8.438756
0.7,4,8.442757
0.8,3,8.44676
0.8,3,8.448759
0.8,3,8.451794
0.9,2,8.454764
1.0,1,8.454764
0.7,4,8.457788
0.4,7,8.463793
0.5,6,8.4668
-0.8,19,8.480758
1.0,1,8.48276
0.6,5,8.485759
0.1,10,8.493759
0.7,4,8.498757
0.9,2,8.498757
0.7,4,8.502758
0.9,2,8.504756
0.8,3,8.508761
0.5,6,8.51276
0.5,6,8.517761
0.3,8,8.525273
-0.5,16,8.540301
0.5,6,8.543273
0.9,2,8.545274
0.2,9,8.550273
0.1,10,8.555274
0.8,3,8.558301
1.0,1,8.558301
0.5,6,8.564301
0.5,6,8.5683
0.4,7,8.57527
0.3,8,8.58127
0.0,11,8.588271
1.0,1,8.589275
0.4,7,8.59627
0.8,3,8.599271
1.0,1,8.599271
0.4,7,8.605273
0.7,4,8.608279
1.0,1,8.609279
0.8,3,8.613276
0.3,8,8.619276
0.8,3,8.620281
1.0,1,8.622875
0.1,10,8.627875
0.7,4,8.632846
1.0,1,8.632846
-0.4,15,8.644875
0.5,6,8.648875
0.7,4,8.652848
0.9,2,8.654847
0.1,10,8.661848
0.9,2,8.662848
0.2,9,8.669848
1.0,1,8.672845
0.5,6,8.675845
0.5,6,8.680848
1.0,1,8.680848
0.7,4,8.684875
0.8,3,8.686876
0.2,9,8.694847
1.0,1,8.694847
0.6,5,8.698848
0.3,8,8.706863
0.3,8,8.712896
1.0,1,8.714863
0.6,5,8.719863
0.6,5,8.722373
0.5,6,8.728373
0.6,5,8.7314
0.5,6,8.736373
0.6,5,8.741373
0.7,4,8.743373
1.0,1,8.744373
0.4,7,8.751401
0.7,4,8.7554
0.9,2,8.756402
1.0,1,8.756402
0.8,3,8.759373
0.8,3,8.761401
0.8,3,8.766372
0.4,7,8.769372
0.7,4,8.772372
0.9,2,8.774374
0.9,2,8.775373
1.0,1,8.776373
0.2,9,8.785373
1.0,1,8.785373
0.6,5,8.789373
0.9,2,8.791373
0.7,4,8.796373
0.6,5,8.799373
0.7,4,8.802373
0.7,4,8.804373
0.3,8,8.811379
0.5,6,8.818382
1.0,1,8.818382
1.0,1,8.818382
0.1,10,8.825706
1.0,1,8.826706
0.7,4,8.831704
1.0,1,8.832704
0.9,2,8.834704
1.0,1,8.835704
0.8,3,8.837704
1.0,1,8.838704
0.3,8,8.84571
1.0,1,8.84671
0.7,4,8.84871
0.6,5,8.852706
1.0,1,8.856706
0.7,4,8.859704
0.7,4,8.862705
0.9,2,8.862705
0.5,6,8.867704
0.4,7,8.870705
1.0,1,8.873707
-0.1,12,8.883704
0.1,10,8.889707
0.5,6,8.894707
0.5,6,8.899706
0.6,5,8.902706
1.0,1,8.905712
-0.4,15,8.917753
0.8,3,8.921224
1.0,1,8.921224
0.7,4,8.92523
0.5,6,8.931258
1.0,1,8.932258
1.0,1,8.932258
0.8,3,8.937231
0.7,4,8.939233
0.2,9,8.94423
1.0,1,8.946231
0.8,3,8.947231
0.4,7,8.95223
0.9,2,8.956232
1.0,1,8.957232
-0.2,13,8.96623
0.9,2,8.969259
0.5,6,8.974258
0.7,4,8.977258
0.8,3,8.980259
0.9,2,8.980259
0.3,8,8.987258
0.9,2,8.991265
0.6,5,8.994265
0.7,4,8.998258
0.8,3,9.000227
0.2,9,9.007231
0.3,8,9.01423
0.7,4,9.019262
0.9,2,9.021796
0.2,9,9.027805
0.7,4,9.031802
0.8,3,9.034802
0.5,6,9.038802
0.8,3,9.0418
1.0,1,9.0418
0.8,3,9.0448
0.8,3,9.049799
0.8,3,9.050799
0.9,2,9.052799
0.5,6,9.0568
0.3,8,9.063802
0.3,8,9.07181
0.8,3,9.075829
1.0,1,9.075829
0.4,7,9.081799
0.8,3,9.0848
0.6,5,9.089799
0.5,6,9.095801
0.9,2,9.096801
0.6,5,9.100802
0.3,8,9.106805
0.1,10,9.114805
1.0,1,9.114805
0.7,4,9.117806
0.8,3,9.121312
0.7,4,9.124319
0.5,6,9.129318
0.4,7,9.135318
0.3,8,9.140318
0.1,10,9.150318
0.1,10,9.158319
0.9,2,9.161319
1.0,1,9.161319
-0.6,17,9.171346
0.5,6,9.177346
0.9,2,9.17835
1.0,1,9.180316
1.0,1,9.183318
0.9,2,9.183318
0.3,8,9.189322
1.0,1,9.190318
1.0,1,9.192347
0.5,6,9.196346
1.0,1,9.197347
0.0,11,9.207319
1.0,1,9.207319
0.9,2,9.212319
0.3,8,9.217319
0.8,3,9.219319
1.0,1,9.220319
0.5,6,9.224835
0.6,5,9.230859
0.6,5,9.235831
0.8,3,9.238832
-0.2,13,9.247832
0.3,8,9.253833
0.9,2,9.255837
0.8,3,9.258831
0.6,5,9.261831
0.7,4,9.263832
0.8,3,9.266832
1.0,1,9.266832
0.6,5,9.275831
0.6,5,9.279835
1.0,1,9.280835
0.1,10,9.289859
0.5,6,9.294859
0.5,6,9.300833
0.9,2,9.301832
0.3,8,9.306893
0.7,4,9.310871
0.1,10,9.319897
0.9,2,9.321436
1.0,1,9.321436
0.8,3,9.324471
0.3,8,9.331476
0.4,7,9.33844
0.1,10,9.343441
0.6,5,9.349444
0.1,10,9.356441
0.9,2,9.359478
0.8,3,9.360478
0.6,5,9.365442
0.7,4,9.368443
0.9,2,9.369442
1.0,1,9.370443
1.0,1,9.374443
0.8,3,9.374443
0.7,4,9.377443
1.0,1,9.379443
0.6,5,9.383442
0.9,2,9.384442
0.6,5,9.389442
0.7,4,9.392471
1.0,1,9.393476
1.0,1,9.393476
0.5,6,9.401443
0.9,2,9.402442
0.7,4,9.405443
0.9,2,9.408447
0.2,9,9.415448
0.3,8,9.421953
0.6,5,9.424959
0.5,6,9.430959
0.3,8,9.43696
0.9,2,9.43696
1.0,1,9.438958
1.0,1,9.440957
0.8,3,9.441957
0.7,4,9.445992
-0.4,15,9.457994
0.4,7,9.464957
0.5,6,9.468993
0.5,6,9.474961
0.8,3,9.477959
0.3,8,9.48296
0.3,8,9.491959
0.3,8,9.49896
0.7,4,9.50196
0.8,3,9.502988
0.7,4,9.505987
-0.1,12,9.51602
0.8,3,9.51902
0.9,2,9.521553
0.6,5,9.524587
0.6,5,9.528588
0.2,9,9.53556
0.9,2,9.53856
0.9,2,9.539559
0.2,9,9.54956
1.0,1,9.550559
0.5,6,9.553589
0.7,4,9.556588
0.8,3,9.560558
1.0,1,9.560558
0.7,4,9.563559
1.0,1,9.567558
0.8,3,9.568559
0.8,3,9.571561
0.7,4,9.574561
-0.3,14,9.58456
0.9,2,9.58556
0.5,6,9.59056
0.4,7,9.595568
0.4,7,9.603558
1.0,1,9.603558
0.6,5,9.610565
0.8,3,9.611565
1.0,1,9.613564
-0.1,12,9.623
1.0,1,9.623996
0.5,6,9.627996
0.4,7,9.635025
0.5,6,9.639994
0.8,3,9.640994
0.9,2,9.643994
0.5,6,9.648996
1.0,1,9.651994
0.6,5,9.654995
0.9,2,9.654995
1.0,1,9.656995
0.5,6,9.659994
0.9,2,9.662996
0.8,3,9.663995
0.7,4,9.668
0.7,4,9.672025
0.5,6,9.678995
0.4,7,9.686996
0.8,3,9.687997
0.1,10,9.697998
1.0,1,9.698998
0.0,11,9.710029
0.4,7,9.714999
0.4,7,9.718999
1.0,1,9.719999
1.0,1,9.721503
0.2,9,9.729509
0.6,5,9.73251
0.5,6,9.73751
0.7,4,9.740508
0.7,4,9.743511
1.0,1,9.744511
1.0,1,9.744511
0.0,11,9.755508
0.6,5,9.759509
0.8,3,9.762543
1.0,1,9.764512
1.0,1,9.766509
1.0,1,9.766509
0.6,5,9.76951
0.6,5,9.77351
0.4,7,9.78051
-0.1,12,9.78951
1.0,1,9.79051
0.5,6,9.79651
0.9,2,9.79651
1.0,1,9.800511
0.9,2,9.801511
0.8,3,9.80351
0.7,4,9.807516
0.4,7,9.815515
0.8,3,9.816514
1.0,1,9.818513
-0.2,13,9.827627
0.4,7,9.833628
0.8,3,9.834627
0.8,3,9.838665
0.2,9,9.844669
1.0,1,9.846663
0.5,6,9.849629
-0.2,13,9.859628
1.0,1,9.861629
0.5,6,9.864631
0.5,6,9.870645
0.9,2,9.871628
0.8,3,9.874627
0.9,2,9.876629
0.7,4,9.879628
0.9,2,9.881628
1.0,1,9.882627
0.7,4,9.884628
0.9,2,9.887631
0.6,5,9.892632
0.7,4,9.89563
0.9,2,9.89563
0.6,5,9.900657
0.6,5,9.90663
0.8,3,9.909635
0.5,6,9.913634
1.0,1,9.913634
1.0,1,9.916634
1.0,1,9.916634
0.5,6,9.920674
0.4,7,9.926205
1.0,1,9.927207
1.0,1,9.930241
1.0,1,9.932234
0.3,8,9.938204
1.0,1,9.939204
0.5,6,9.944204
0.8,3,9.945204
0.5,6,9.950234
1.0,1,9.950234
0.4,7,9.957204
0.3,8,9.964205
0.8,3,9.967204
0.0,11,9.975204
1.0,1,9.977202
0.2,9,9.984216
1.0,1,9.985206
0.5,6,9.990204
0.7,4,9.993202
1.0,1,9.994202
0.7,4,9.997204
0.7,4,10.000204
0.3,8,10.006205
0.4,7,10.013211
0.5,6,10.018212
0.8,3,10.02021
0.6,5,10.023729
0.7,4,10.026723
0.9,2,10.028723
0.9,2,10.029723
0.4,7,10.035723
0.7,4,10.038723
0.5,6,10.042723
0.2,9,10.05372
0.9,2,10.05472
0.6,5,10.05772
0.2,9,10.066727
0.9,2,10.067723
1.0,1,10.068751
0.9,2,10.07075
0.3,8,10.075723
0.3,8,10.081757
0.7,4,10.084751
0.9,2,10.087751
1.0,1,10.089751
0.7,4,10.092727
1.0,1,10.093725
0.3,8,10.098751
0.8,3,10.102755
0.5,6,10.10773
0.8,3,10.110759
0.7,4,10.112759
0.8,3,10.115758
0.7,4,10.121759
1.0,1,10.122294
0.8,3,10.125329
0.6,5,10.130303
1.0,1,10.130303
0.7,4,10.134299
0.4,7,10.1403
0.9,2,10.141299
1.0,1,10.144308
0.1,10,10.1513
0.7,4,10.156328
0.9,2,10.158329
0.7,4,10.161328
0.5,6,10.165333
0.7,4,10.167334
1.0,1,10.168343
0.6,5,10.173302
0.9,2,10.174302
0.4,7,10.180298
0.9,2,10.181298
0.5,6,10.190301
0.8,3,10.194299
0.9,2,10.194299
0.7,4,10.199328
-0.3,14,10.214306
0.9,2,10.214306
0.6,5,10.218341
0.8,3,10.220336
0.7,4,10.223905
0.5,6,10.228904
0.8,3,10.231904
-0.5,16,10.245883
1.0,1,10.247877
0.5,6,10.250875
0.6,5,10.25491
0.1,10,10.263915
0.6,5,10.266904
0.8,3,10.268877
0.3,8,10.273877
0.6,5,10.276877
0.4,7,10.284877
0.8,3,10.289876
0.0,11,10.295909
1.0,1,10.297904
0.4,7,10.301911
0.9,2,10.304915
0.8,3,10.307928
1.0,1,10.308964
1.0,1,10.308964
0.4,7,10.315954
0.5,6,10.320926
0.8,3,10.323437
0.9,2,10.325437
0.5,6,10.328437
0.7,4,10.332439
0.2,9,10.339436
0.6,5,10.343473
0.6,5,10.347472
0.3,8,10.353437
0.0,11,10.361437
0.9,2,10.363436
1.0,1,10.364438
0.8,3,10.366437
1.0,1,10.367437
0.8,3,10.369437
0.4,7,10.374437
1.0,1,10.374437
0.6,5,10.377438
0.3,8,10.386445
1.0,1,10.388465
0.5,6,10.39444
0.3,8,10.39944
0.3,8,10.40544
0.9,2,10.408448
0.5,6,10.414446
0.9,2,10.416445
1.0,1,10.417446
0.9,2,10.417446
1.0,1,10.420445
0.8,3,10.421951
1.0,1,10.425958
0.6,5,10.429957
1.0,1,10.429957
1.0,1,10.430956
0.6,5,10.435957
0.5,6,10.439957
0.3,8,10.446959
0.5,6,10.452957
0.8,3,10.453958
1.0,1,10.455957
0.4,7,10.46296
1.0,1,10.46396
0.7,4,10.46696
0.7,4,10.46996
0.7,4,10.472957
0.5,6,10.478989
0.9,2,10.481956
0.8,3,10.482955
0.5,6,10.487954
0.5,6,10.491954
0.9,2,10.495956
0.3,8,10.500954
-0.1,12,10.513964
0.7,4,10.517998
1.0,1,10.517998
0.9,2,10.520963
1.0,1,10.520963
0.4,7,10.526466
0.6,5,10.529466
0.8,3,10.531466
0.1,10,10.539466
1.0,1,10.539466
0.3,8,10.545466
0.8,3,10.547467
1.0,1,10.547467
0.7,4,10.550466
0.3,8,10.557466
0.7,4,10.561497
0.8,3,10.563498
0.6,5,10.567497
1.0,1,10.571467
0.4,7,10.574466
0.2,9,10.581466
0.9,2,10.582467
0.6,5,10.58847
0.5,6,10.595466
1.0,1,10.595466
1.0,1,10.595466
1.0,1,10.598466
0.6,5,10.601468
0.9,2,10.60447
0.6,5,10.608474
0.9,2,10.609473
0.7,4,10.612473
0.5,6,10.619473
0.6,5,10.624017
0.7,4,10.627023
0.5,6,10.631016
1.0,1,10.632987
0.1,10,10.639016
0.8,3,10.643988
0.9,2,10.644988
1.0,1,10.647987
0.7,4,10.650986
0.5,6,10.654986
0.5,6,10.661016
0.6,5,10.664988
0.5,6,10.667988
0.9,2,10.669989
-0.1,12,10.677988
0.7,4,10.684016
0.5,6,10.687015
0.4,7,10.692016
0.5,6,10.700016
0.4,7,10.703988
0.9,2,10.707016
0.7,4,10.710048
0.5,6,10.713049
1.0,1,10.715049
0.4,7,10.719049
0.6,5,10.726605
0.6,5,10.728605
0.8,3,10.731603
0.9,2,10.731603
0.5,6,10.736605
0.2,9,10.742637
0.5,6,10.746603
0.9,2,10.7506
0.6,5,10.753604
1.0,1,10.754605
0.6,5,10.760601
1.0,1,10.7616
0.3,8,10.767601
0.8,3,10.7706
1.0,1,10.7706
0.2,9,10.778636
0.7,4,10.782637
0.6,5,10.786638
0.6,5,10.791603
0.2,9,10.796603
0.5,6,10.802603
0.8,3,10.805605
0.5,6,10.812607
0.8,3,10.813608
1.0,1,10.815644
0.7,4,10.817641
0.7,4,10.820642
0.7,4,10.82419
0.0,11,10.831194
0.9,2,10.833193
0.9,2,10.836154
0.6,5,10.841154
0.7,4,10.844154
0.6,5,10.848154
0.6,5,10.852157
0.9,2,10.855156
1.0,1,10.856155
0.8,3,10.859184
1.0,1,10.860182
0.9,2,10.860182
1.0,1,10.865154
0.4,7,10.868154
0.4,7,10.873154
0.9,2,10.875154
0.8,3,10.876154
0.5,6,10.882157
0.5,6,10.887152
0.9,2,10.890151
0.5,6,10.894151
0.5,6,10.900154
0.6,5,10.906151
0.9,2,10.908155
0.8,3,10.909155
1.0,1,10.910155
0.7,4,10.914158
0.4,7,10.919157
-0.2,13,10.930667
0.6,5,10.933668
0.6,5,10.936667
0.6,5,10.939667
0.4,7,10.947666
0.7,4,10.950666
0.8,3,10.952667
0.3,8,10.957666
0.5,6,10.96167
0.7,4,10.965696
0.4,7,10.973697
0.1,10,10.982697
1.0,1,10.983698
0.8,3,10.986696
1.0,1,10.988672
0.4,7,10.994669
0.9,2,10.995686
0.3,8,11.002668
0.6,5,11.005666
0.8,3,11.00867
0.0,11,11.018672
0.8,3,11.020671
0.4,7,11.025183
1.0,1,11.02721
1.0,1,11.030181
0.9,2,11.030181
1.0,1,11.03221
0.6,5,11.036209
0.9,2,11.036209
0.3,8,11.044181
1.0,1,11.047183
0.8,3,11.048182
0.6,5,11.053179
0.8,3,11.054179
0.9,2,11.059182
0.6,5,11.062182
1.0,1,11.062182
0.4,7,11.067182
0.7,4,11.070182
0.5,6,11.077182
0.3,8,11.085217
0.6,5,11.089185
0.9,2,11.090185
1.0,1,11.091185
0.6,5,11.097182
1.0,1,11.097182
1.0,1,11.097182
1.0,1,11.099182
0.6,5,11.102182
1.0,1,11.102182
0.6,5,11.108195
0.7,4,11.112189
1.0,1,11.114192
0.5,6,11.117225
0.6,5,11.122697
0.2,9,11.129704
0.7,4,11.132703
1.0,1,11.132703
0.8,3,11.135706
0.1,10,11.143701
1.0,1,11.1447
1.0,1,11.146701
0.5,6,11.150732
0.9,2,11.152731
0.5,6,11.158731
0.7,4,11.161731
0.5,6,11.166705
0.8,3,11.168705
0.7,4,11.1727
1.0,1,11.174701
0.0,11,11.180704
0.3,8,11.186703
0.5,6,11.191704
1.0,1,11.191704
0.3,8,11.200704
1.0,1,11.200704
0.9,2,11.20371
0.9,2,11.204708
0.6,5,11.209711
0.6,5,11.212746
0.9,2,11.213743
1.0,1,11.215743
0.7,4,11.218738
1.0,1,11.218738
0.6,5,11.224244
1.0,1,11.224244
0.8,3,11.227244
0.6,5,11.230243
1.0,1,11.233243
0.5,6,11.237243
0.5,6,11.242242
0.7,4,11.246245
0.4,7,11.25124
0.3,8,11.25924
1.0,1,11.264241
0.9,2,11.265241
0.6,5,11.26827
0.5,6,11.273242
0.6,5,11.276269
0.9,2,11.280243
0.7,4,11.284241
0.3,8,11.291241
0.4,7,11.296244
0.9,2,11.298245
0.3,8,11.306269
0.5,6,11.309304
0.8,3,11.313273
0.6,5,11.318311
1.0,1,11.320314
0.9,2,11.321309
0.8,3,11.323891
1.0,1,11.323891
0.7,4,11.326855
0.5,6,11.331855
0.9,2,11.334855
0.8,3,11.336855
1.0,1,11.337855
0.6,5,11.340854
0.8,3,11.344857
0.7,4,11.347856
0.8,3,11.351858
0.7,4,11.355856
0.9,2,11.355856
0.7,4,11.359857
0.8,3,11.364892
0.6,5,11.368891
0.6,5,11.373859
0.6,5,11.377858
1.0,1,11.378857
0.6,5,11.382854
0.7,4,11.386858
0.8,3,11.389859
0.9,2,11.392859
1.0,1,11.39387
0.7,4,11.399864
0.9,2,11.400857
0.3,8,11.407867
0.7,4,11.411864
1.0,1,11.414862
0.5,6,11.417861
0.9,2,11.420892
1.0,1,11.420892
0.6,5,11.424403
0.9,2,11.427438
1.0,1,11.429406
0.8,3,11.432407
0.8,3,11.433407
0.9,2,11.435407
0.6,5,11.441406
0.4,7,11.446405
0.9,2,11.447446
1.0,1,11.449432
0.8,3,11.450405
0.9,2,11.453404
0.3,8,11.461405
0.9,2,11.461405
0.9,2,11.464404
0.4,7,11.470447
0.3,8,11.47741
0.6,5,11.483444
0.8,3,11.486436
0.9,2,11.487441
0.7,4,11.491408
1.0,1,11.492403
0.8,3,11.497409
0.6,5,11.501436
0.7,4,11.505435
1.0,1,11.508467
0.8,3,11.509438
1.0,1,11.511437
0.7,4,11.514437
0.7,4,11.517437
1.0,1,11.518436
0.6,5,11.520437
0.5,6,11.527946
0.2,9,11.535985
1.0,1,11.536985
1.0,1,11.536985
0.2,9,11.545977
0.4,7,11.550947
0.5,6,11.556949
0.5,6,11.560977
0.7,4,11.564949
0.6,5,11.569976
0.4,7,11.575952
1.0,1,11.577952
1.0,1,11.577952
0.9,2,11.578949
1.0,1,11.580949
0.8,3,11.581949
0.5,6,11.588966
0.7,4,11.591952
0.5,6,11.596949
0.6,5,11.601949
0.3,8,11.609983
1.0,1,11.609983
0.7,4,11.613982
0.7,4,11.617982
1.0,1,11.618982
0.3,8,11.626482
0.8,3,11.630479
0.8,3,11.632479
0.5,6,11.637481
1.0,1,11.638481
0.6,5,11.645481
0.9,2,11.646481
0.1,10,11.655481
0.8,3,11.657481
1.0,1,11.660482
0.7,4,11.665479
0.5,6,11.669509
1.0,1,11.669509
1.0,1,11.672509
0.5,6,11.676482
0.3,8,11.683481
1.0,1,11.684481
0.8,3,11.686481
0.5,6,11.693521
0.7,4,11.697481
0.8,3,11.69848
0.8,3,11.701478
0.6,5,11.705515
0.2,9,11.713547
0.9,2,11.71455
0.9,2,11.718515
0.9,2,11.719515
0.3,8,11.727029
0.8,3,11.730024
0.5,6,11.734024
0.9,2,11.737024
0.6,5,11.741024
0.7,4,11.743024
1.0,1,11.744023
0.7,4,11.747024
0.6,5,11.753024
0.4,7,11.759023
1.0,1,11.761028
1.0,1,11.762024
0.6,5,11.765023
0.7,4,11.768059
0.6,5,11.773027
0.9,2,11.777024
0.9,2,11.777024
1.0,1,11.779024
0.9,2,11.782059
0.8,3,11.784059
0.9,2,11.785054
0.2,9,11.792024
0.5,6,11.796024
1.0,1,11.796024
1.0,1,11.798024
0.6,5,11.802023
0.3,8,11.809031
0.5,6,11.813028
0.3,8,11.82106
0.7,4,11.824626
0.7,4,11.827627
0.5,6,11.833596
0.7,4,11.8376
0.0,11,11.847598
0.5,6,11.851597
0.7,4,11.854596
0.9,2,11.856598
0.8,3,11.857597
0.5,6,11.865599
1.0,1,11.865599
0.7,4,11.868599
0.9,2,11.871599
0.5,6,11.875599
1.0,1,11.875599
0.5,6,11.88263
0.7,4,11.886598
1.0,1,11.886598
0.1,10,11.894626
0.8,3,11.897597
