#{"t_start": 1761561634.0887206, "env_id": "None"}
r,l,t
0.1,10,2.346221
0.9,2,2.34722
-1.3,24,2.367222
0.7,4,2.371237
0.8,3,2.375217
0.6,5,2.378232
0.5,6,2.38425
0.9,2,2.38522
0.9,2,2.387221
0.3,8,2.393224
-0.3,14,2.40122
0.9,2,2.403286
0.8,3,2.409258
0.9,2,2.409258
0.2,9,2.416285
0.1,10,2.424833
1.0,1,2.424833
0.8,3,2.429834
1.0,1,2.429834
-1.2,23,2.446831
-1.2,23,2.460832
1.0,1,2.461841
0.4,7,2.46987
0.5,6,2.471866
-0.3,14,2.480839
-0.2,13,2.489842
0.1,10,2.495847
1.0,1,2.499867
-0.8,19,2.510837
0.1,10,2.51834
0.9,2,2.519342
-0.5,16,2.528355
1.0,1,2.533352
0.3,8,2.538353
0.5,6,2.541352
-0.8,19,2.554379
-0.7,18,2.569342
0.1,10,2.577379
0.7,4,2.581353
0.9,2,2.581353
-0.6,17,2.596342
1.0,1,2.596342
0.4,7,2.605366
-0.6,17,2.617871
0.2,9,2.623885
0.8,3,2.626876
1.0,1,2.626876
-1.5,26,2.642911
-1.1,22,2.65391
0.6,5,2.655911
0.4,7,2.660911
-1.0,21,2.671911
1.0,1,2.676877
0.1,10,2.681877
1.0,1,2.681877
0.2,9,2.687876
0.5,6,2.690879
-2.0,31,2.712916
0.9,2,2.712916
0.8,3,2.714916
1.0,1,2.715921
0.8,3,2.71789
0.5,6,2.725447
1.0,1,2.725447
0.7,4,2.727447
0.1,10,2.732448
-2.3,34,2.757435
-0.6,17,2.766445
0.8,3,2.769445
0.9,2,2.769445
0.8,3,2.772444
1.0,1,2.772444
0.4,7,2.778445
0.7,4,2.780445
-0.4,15,2.790437
0.0,11,2.800477
1.0,1,2.800477
0.9,2,2.800477
0.5,6,2.805524
1.0,1,2.806483
0.8,3,2.808483
-1.4,25,2.822033
0.5,6,2.829035
0.9,2,2.830063
-0.4,15,2.841068
1.0,1,2.842064
0.1,10,2.848026
0.7,4,2.851069
0.9,2,2.852068
0.7,4,2.854069
0.9,2,2.85707
0.7,4,2.859069
0.3,8,2.867064
-0.1,12,2.875063
-0.8,19,2.888035
-0.5,16,2.898035
0.6,5,2.903036
0.7,4,2.905048
-0.3,14,2.91408
0.3,8,2.919675
-0.7,18,2.931673
1.0,1,2.932674
0.5,6,2.937674
0.7,4,2.940668
0.5,6,2.946634
1.0,1,2.947633
0.0,11,2.954632
-0.1,12,2.962632
-0.6,17,2.970642
-0.4,15,2.979632
1.0,1,2.979632
0.1,10,2.985631
-0.7,18,2.998645
1.0,1,2.999645
0.6,5,3.003659
0.5,6,3.007651
0.0,11,3.016649
0.9,2,3.018153
-0.4,15,3.027157
0.7,4,3.030159
-0.1,12,3.036193
0.9,2,3.038193
0.5,6,3.043194
0.2,9,3.048194
0.1,10,3.055158
0.7,4,3.059159
0.9,2,3.059159
-1.1,22,3.074193
-0.2,13,3.081193
0.9,2,3.083201
-0.3,14,3.091158
1.0,1,3.091158
0.1,10,3.100166
0.2,9,3.107178
0.6,5,3.110172
-0.1,12,3.117207
1.0,1,3.119555
0.1,10,3.125555
0.0,11,3.132588
0.7,4,3.135518
0.3,8,3.140518
-1.1,22,3.15152
0.5,6,3.158521
0.4,7,3.16252
1.0,1,3.16252
1.0,1,3.16252
0.3,8,3.16752
-0.3,14,3.179528
1.0,1,3.179528
1.0,1,3.179528
0.8,3,3.181528
-0.4,15,3.192518
-0.1,12,3.20152
1.0,1,3.20152
-0.5,16,3.211524
0.2,9,3.218525
-1.3,24,3.234687
0.5,6,3.238654
1.0,1,3.239687
0.4,7,3.243687
-2.0,31,3.263653
0.7,4,3.265653
0.2,9,3.274661
1.0,1,3.274661
0.7,4,3.278653
0.5,6,3.283688
-0.1,12,3.29065
0.5,6,3.29566
1.0,1,3.29566
0.3,8,3.300659
0.4,7,3.304672
-1.4,25,3.317705
1.0,1,3.320013
0.8,3,3.323048
0.9,2,3.32501
0.1,10,3.332002
-0.1,12,3.339011
0.5,6,3.345042
-0.5,16,3.354
0.5,6,3.356
-0.6,17,3.366
0.8,3,3.368
0.9,2,3.372001
-0.9,20,3.385037
0.4,7,3.390004
-0.6,17,3.40201
0.8,3,3.40301
1.0,1,3.405055
0.7,4,3.408015
1.0,1,3.409055
1.0,1,3.409055
-0.3,14,3.417054
-0.6,17,3.429606
0.5,6,3.432606
0.6,5,3.441607
0.8,3,3.442635
0.9,2,3.445637
1.0,1,3.445637
0.3,8,3.451609
1.0,1,3.452606
-0.5,16,3.461605
0.0,11,3.46861
1.0,1,3.470607
-1.9,30,3.493607
1.0,1,3.493607
-0.2,13,3.501606
0.7,4,3.505608
0.5,6,3.509608
0.7,4,3.512608
0.4,7,3.518638
0.8,3,3.519173
-0.3,14,3.528208
-0.3,14,3.537181
0.6,5,3.541234
-0.5,16,3.554214
-1.9,30,3.570177
1.0,1,3.571177
0.6,5,3.575176
0.7,4,3.577177
0.7,4,3.580176
1.0,1,3.580176
0.3,8,3.586177
0.9,2,3.588184
0.9,2,3.590177
0.8,3,3.593177
0.7,4,3.596181
1.0,1,3.59718
0.1,10,3.604244
-2.4,35,3.626808
-0.1,12,3.63381
0.4,7,3.637809
0.9,2,3.638809
0.9,2,3.642814
0.9,2,3.643814
0.6,5,3.648814
1.0,1,3.648814
1.0,1,3.648814
-0.2,13,3.656814
0.4,7,3.664781
-0.6,17,3.67678
1.0,1,3.678778
-1.2,23,3.689778
0.3,8,3.697809
-0.5,16,3.7098
-0.3,14,3.721299
0.5,6,3.725298
0.8,3,3.727297
0.5,6,3.731297
1.0,1,3.731297
0.2,9,3.736297
-0.8,19,3.746297
1.0,1,3.746297
-0.1,12,3.756302
0.6,5,3.760303
0.6,5,3.764332
1.0,1,3.765333
0.6,5,3.767332
1.0,1,3.767332
0.9,2,3.770301
0.9,2,3.770301
0.9,2,3.7723
0.8,3,3.775297
0.8,3,3.777298
-0.5,16,3.788301
0.9,2,3.791332
0.6,5,3.795306
0.3,8,3.800334
0.8,3,3.80431
-0.1,12,3.814307
1.0,1,3.814307
-0.5,16,3.824918
0.8,3,3.82692
-2.1,32,3.849007
0.5,6,3.853886
0.9,2,3.856886
0.4,7,3.862913
-1.9,30,3.880887
0.6,5,3.882886
0.9,2,3.884887
-1.0,21,3.895884
0.0,11,3.901883
0.1,10,3.906887
0.3,8,3.914923
0.7,4,3.917929
0.6,5,3.922998
0.8,3,3.923997
1.0,1,3.925968
0.5,6,3.929961
0.1,10,3.939966
0.7,4,3.942964
0.8,3,3.943963
0.9,2,3.945966
0.9,2,3.948996
1.0,1,3.949995
0.7,4,3.952995
0.1,10,3.956999
-1.0,21,3.972962
0.2,9,3.979991
0.1,10,3.984993
0.9,2,3.987991
0.8,3,3.987991
0.9,2,3.989963
0.2,9,3.995961
-0.9,20,4.00997
1.0,1,4.010966
0.3,8,4.017963
0.4,7,4.02447
0.1,10,4.031471
0.5,6,4.033471
0.6,5,4.03647
-0.3,14,4.045468
0.2,9,4.049468
0.5,6,4.05647
1.0,1,4.05747
0.1,10,4.06347
0.9,2,4.065471
0.4,7,4.071472
1.0,1,4.072472
0.8,3,4.075471
0.7,4,4.077471
-0.5,16,4.087471
1.0,1,4.087471
-0.9,20,4.101472
0.5,6,4.10548
0.3,8,4.112478
0.5,6,4.116477
0.9,2,4.117476
0.4,7,4.121989
0.9,2,4.123991
-0.3,14,4.13099
0.7,4,4.135017
-0.6,17,4.147017
0.8,3,4.151017
0.7,4,4.154017
0.6,5,4.156017
0.9,2,4.158017
0.7,4,4.161017
0.1,10,4.16599
1.0,1,4.168988
1.0,1,4.168988
0.3,8,4.17499
-0.6,17,4.185017
-0.3,14,4.195989
0.9,2,4.196989
0.5,6,4.202986
0.7,4,4.205995
0.8,3,4.206994
0.5,6,4.211996
0.6,5,4.214996
-0.6,17,4.225508
0.2,9,4.231507
0.9,2,4.232508
0.8,3,4.236508
1.0,1,4.236508
0.8,3,4.238507
1.0,1,4.239507
0.6,5,4.241507
0.8,3,4.243508
0.6,5,4.248535
-0.2,13,4.259508
1.0,1,4.260508
0.9,2,4.260508
1.0,1,4.264507
0.7,4,4.266508
0.9,2,4.267508
0.9,2,4.269507
0.0,11,4.273508
-0.6,17,4.288535
0.8,3,4.289535
0.2,9,4.296507
0.6,5,4.298507
1.0,1,4.299507
0.1,10,4.307514
-0.1,12,4.319015
0.8,3,4.320019
0.1,10,4.327021
0.9,2,4.327021
0.6,5,4.332021
0.2,9,4.338021
0.5,6,4.342048
0.8,3,4.345049
0.5,6,4.350049
0.7,4,4.354021
0.5,6,4.358021
1.0,1,4.358021
0.7,4,4.361021
1.0,1,4.363023
0.3,8,4.368021
0.8,3,4.369021
1.0,1,4.371021
-0.2,13,4.379022
0.6,5,4.383021
0.1,10,4.393021
0.5,6,4.396021
-1.3,24,4.413068
0.5,6,4.419067
0.3,8,4.424098
0.8,3,4.424098
0.9,2,4.426097
0.9,2,4.427097
1.0,1,4.428098
0.5,6,4.431098
1.0,1,4.434123
0.7,4,4.436123
-0.5,16,4.446128
-0.4,15,4.459092
0.9,2,4.46113
0.6,5,4.464129
0.0,11,4.472095
0.9,2,4.472095
0.8,3,4.474096
-1.2,23,4.487123
0.9,2,4.489099
-0.1,12,4.498134
-0.5,16,4.510101
0.0,11,4.517138
0.2,9,4.522682
0.4,7,4.527682
0.3,8,4.531685
0.5,6,4.534685
0.4,7,4.539685
0.3,8,4.544685
-1.4,25,4.560679
0.2,9,4.569681
0.8,3,4.57068
0.4,7,4.57568
0.2,9,4.58068
0.9,2,4.58268
0.3,8,4.58768
-0.4,15,4.596716
0.2,9,4.60171
-0.7,18,4.611756
0.2,9,4.621234
-0.1,12,4.629234
0.0,11,4.634233
0.6,5,4.640261
0.9,2,4.640261
0.2,9,4.646262
0.9,2,4.649263
1.0,1,4.649263
0.2,9,4.654267
0.6,5,4.660262
0.3,8,4.667262
-0.2,13,4.677235
0.5,6,4.680233
0.4,7,4.685232
1.0,1,4.685232
0.8,3,4.687232
-0.2,13,4.695231
0.9,2,4.697232
0.5,6,4.700232
0.8,3,4.702232
1.0,1,4.704242
